time_s,ecg_mv
0.0,-0.12325
0.004,-0.15119
0.008,-0.14246
0.012,-0.14563
0.016,-0.14655
0.02,-0.13707
0.024,-0.12652
0.028,-0.14649
0.032,-0.15487
0.036,-0.15715
0.04,-0.1646
0.044,-0.18188
0.048,-0.18054
0.052,-0.15928
0.056,-0.17311
0.06,-0.18694
0.064,-0.18044
0.068,-0.14115
0.072,-0.15269
0.076,-0.19669
0.08,-0.22447
0.084,-0.23402
0.088,-0.24764
0.092,-0.26298
0.096,-0.27626
0.1,-0.27387
0.104,-0.26031
0.108,-0.26071
0.112,-0.28242
0.116,-0.2899
0.12,-0.29133
0.124,-0.28531
0.128,-0.29744
0.132,-0.29628
0.136,-0.27431
0.14,-0.27637
0.144,-0.28657
0.148,-0.2994
0.152,-0.29404
0.156,-0.28516
0.16,-0.29436
0.164,-0.31556
0.168,-0.32477
0.172,-0.36044
0.176,-0.38502
0.18,-0.39959
0.184,-0.46356
0.188,-0.49
0.192,-0.41595
0.196,-0.26957
0.2,-0.07361
0.204,0.22924
0.208,0.59334
0.212,0.81295
0.216,0.7975
0.22,0.45723
0.224,-0.05549
0.228,-0.37517
0.232,-0.43695
0.236,-0.37385
0.24,-0.32305
0.244,-0.33557
0.248,-0.34047
0.252,-0.32576
0.256,-0.3151
0.26,-0.31321
0.264,-0.33799
0.268,-0.3313
0.272,-0.33911
0.276,-0.33411
0.28,-0.33239
0.284,-0.32957
0.288,-0.32636
0.292,-0.33358
0.296,-0.35105
0.3,-0.33992
0.304,-0.31322
0.308,-0.31469
0.312,-0.32455
0.316,-0.33643
0.32,-0.33764
0.324,-0.34183
0.328,-0.35633
0.332,-0.34714
0.336,-0.33134
0.34,-0.32812
0.344,-0.34007
0.348,-0.34244
0.352,-0.32191
0.356,-0.33128
0.36,-0.33102
0.364,-0.33839
0.368,-0.33403
0.372,-0.33775
0.376,-0.35315
0.38,-0.35217
0.384,-0.34066
0.388,-0.32351
0.392,-0.33033
0.396,-0.3389
0.4,-0.33434
0.404,-0.33399
0.408,-0.34164
0.412,-0.3505
0.416,-0.34549
0.42,-0.33776
0.424,-0.33182
0.428,-0.34749
0.432,-0.34877
0.436,-0.33624
0.44,-0.33376
0.444,-0.34636
0.448,-0.35636
0.452,-0.34918
0.456,-0.34046
0.46,-0.34268
0.464,-0.36052
0.468,-0.35945
0.472,-0.36342
0.476,-0.36269
0.48,-0.38152
0.484,-0.36897
0.488,-0.35462
0.492,-0.36295
0.496,-0.37663
0.5,-0.36613
0.504,-0.36328
0.508,-0.35854
0.512,-0.36899
0.516,-0.35901
0.52,-0.32943
0.524,-0.32316
0.528,-0.3375
0.532,-0.32818
0.536,-0.30072
0.54,-0.29625
0.544,-0.29176
0.548,-0.29056
0.552,-0.27703
0.556,-0.25518
0.56,-0.24859
0.564,-0.26291
0.568,-0.24971
0.572,-0.23485
0.576,-0.24264
0.58,-0.25449
0.584,-0.24918
0.588,-0.24603
0.592,-0.25243
0.596,-0.24986
0.6,-0.25106
0.604,-0.25577
0.608,-0.26363
0.612,-0.25924
0.616,-0.2707
0.62,-0.26228
0.624,-0.26787
0.628,-0.28383
0.632,-0.28382
0.636,-0.26641
0.64,-0.26795
0.644,-0.28353
0.648,-0.28019
0.652,-0.275
0.656,-0.26527
0.66,-0.27907
0.664,-0.28935
0.668,-0.27673
0.672,-0.2809
0.676,-0.28767
0.68,-0.30334
0.684,-0.30023
0.688,-0.29793
0.692,-0.30951
0.696,-0.30863
0.7,-0.29387
0.704,-0.28522
0.708,-0.28704
0.712,-0.30292
0.716,-0.29726
0.72,-0.2939
0.724,-0.30355
0.728,-0.31271
0.732,-0.32044
0.736,-0.29673
0.74,-0.29739
0.744,-0.32394
0.748,-0.32664
0.752,-0.30357
0.756,-0.30449
0.76,-0.31617
0.764,-0.32915
0.768,-0.32069
0.772,-0.3092
0.776,-0.30543
0.78,-0.3069
0.784,-0.30377
0.788,-0.29589
0.792,-0.2971
0.796,-0.30387
0.8,-0.30386
0.804,-0.2843
0.808,-0.29014
0.812,-0.31121
0.816,-0.30809
0.82,-0.29404
0.824,-0.28415
0.828,-0.27045
0.832,-0.27676
0.836,-0.26779
0.84,-0.24954
0.844,-0.25199
0.848,-0.22503
0.852,-0.20979
0.856,-0.19911
0.86,-0.21196
0.864,-0.22618
0.868,-0.22222
0.872,-0.2255
0.876,-0.22581
0.88,-0.235
0.884,-0.23853
0.888,-0.22725
0.892,-0.20471
0.896,-0.22546
0.9,-0.28187
0.904,-0.29069
0.908,-0.3108
0.912,-0.33081
0.916,-0.32557
0.92,-0.31728
0.924,-0.31686
0.928,-0.32554
0.932,-0.34462
0.936,-0.34048
0.94,-0.34277
0.944,-0.35123
0.948,-0.34381
0.952,-0.33331
0.956,-0.32629
0.96,-0.3328
0.964,-0.35522
0.968,-0.33348
0.972,-0.32583
0.976,-0.33597
0.98,-0.36369
0.984,-0.36247
0.988,-0.41017
0.992,-0.45085
0.996,-0.49423
1.0,-0.53414
1.004,-0.47308
1.008,-0.30992
1.012,-0.1226
1.016,0.16645
1.02,0.54419
1.024,0.82831
1.028,0.94295
1.032,0.84241
1.036,0.50323
1.04,0.04345
1.044,-0.253
1.048,-0.40906
1.052,-0.47205
1.056,-0.45213
1.06,-0.40319
1.064,-0.38653
1.068,-0.38894
1.072,-0.38317
1.076,-0.37846
1.08,-0.39077
1.084,-0.38643
1.088,-0.38404
1.092,-0.37892
1.096,-0.40452
1.1,-0.40997
1.104,-0.39688
1.108,-0.39241
1.112,-0.40275
1.116,-0.38555
1.12,-0.3795
1.124,-0.39101
1.128,-0.40338
1.132,-0.41201
1.136,-0.39346
1.14,-0.3894
1.144,-0.40592
1.148,-0.40888
1.152,-0.40525
1.156,-0.40706
1.16,-0.41352
1.164,-0.40899
1.168,-0.40015
1.172,-0.39442
1.176,-0.39549
1.18,-0.40884
1.184,-0.39146
1.188,-0.38517
1.192,-0.39055
1.196,-0.40963
1.2,-0.39549
1.204,-0.38335
1.208,-0.38297
1.212,-0.40384
1.216,-0.40279
1.22,-0.39032
1.224,-0.38683
1.228,-0.40329
1.232,-0.41834
1.236,-0.40009
1.24,-0.39848
1.244,-0.41315
1.248,-0.42161
1.252,-0.41247
1.256,-0.41674
1.26,-0.42366
1.264,-0.43042
1.268,-0.43189
1.272,-0.42132
1.276,-0.43643
1.28,-0.45747
1.284,-0.44346
1.288,-0.44088
1.292,-0.45022
1.296,-0.46354
1.3,-0.46297
1.304,-0.45119
1.308,-0.45417
1.312,-0.47381
1.316,-0.46449
1.32,-0.44895
1.324,-0.44079
1.328,-0.43847
1.332,-0.42657
1.336,-0.39169
1.34,-0.36759
1.344,-0.36249
1.348,-0.3578
1.352,-0.32769
1.356,-0.31538
1.36,-0.32647
1.364,-0.3293
1.368,-0.31569
1.372,-0.29958
1.376,-0.30729
1.38,-0.32272
1.384,-0.31122
1.388,-0.3038
1.392,-0.30015
1.396,-0.3278
1.4,-0.31048
1.404,-0.30495
1.408,-0.29944
1.412,-0.3244
1.416,-0.31348
1.42,-0.30766
1.424,-0.31066
1.428,-0.31164
1.432,-0.31558
1.436,-0.29423
1.44,-0.29579
1.444,-0.31077
1.448,-0.31913
1.452,-0.30527
1.456,-0.31225
1.46,-0.31677
1.464,-0.32395
1.468,-0.31807
1.472,-0.31649
1.476,-0.3286
1.48,-0.33908
1.484,-0.33586
1.488,-0.33107
1.492,-0.32864
1.496,-0.34993
1.5,-0.3444
1.504,-0.33224
1.508,-0.3304
1.512,-0.34613
1.516,-0.34282
1.52,-0.32475
1.524,-0.33145
1.528,-0.34491
1.532,-0.34587
1.536,-0.32849
1.54,-0.33157
1.544,-0.35002
1.548,-0.36082
1.552,-0.34953
1.556,-0.3427
1.56,-0.34427
1.564,-0.34654
1.568,-0.33787
1.572,-0.32821
1.576,-0.33927
1.58,-0.34953
1.584,-0.348
1.588,-0.33299
1.592,-0.34225
1.596,-0.35105
1.6,-0.3513
1.604,-0.33385
1.608,-0.33686
