time_s,ecg_mv
0.0,0.00618
0.004,-0.00039
0.008,-0.00027
0.012,0.00306
0.016,-0.00586
0.02,-0.00296
0.024,0.00884
0.028,0.00107
0.032,-0.01348
0.036,-0.00234
0.04,0.01165
0.044,0.00135
0.048,0.00273
0.052,0.0126
0.056,0.02716
0.06,-0.00292
0.064,0.0222
0.068,-0.00837
0.072,0.00886
0.076,-0.0069
0.08,0.02373
0.084,0.01789
0.088,0.02191
0.092,-0.002
0.096,0.01721
0.1,0.00314
0.104,0.00425
0.108,0.01619
0.112,0.021
0.116,0.0133
0.12,0.00368
0.124,0.00167
0.128,0.02928
0.132,0.01944
0.136,0.02131
0.14,0.03924
0.144,0.00362
0.148,0.04448
0.152,0.05194
0.156,0.03391
0.16,0.02478
0.164,0.00725
0.168,0.0275
0.172,0.01062
0.176,0.01603
0.18,0.01316
0.184,0.0204
0.188,0.03281
0.192,0.01104
0.196,0.00623
0.2,0.00637
0.204,0.00714
0.208,0.00193
0.212,0.0085
0.216,0.03532
0.22,0.01303
0.224,0.02358
0.228,0.00623
0.232,0.02321
0.236,0.00063
0.24,0.01347
0.244,0.04925
0.248,0.01554
0.252,0.03631
0.256,0.02866
0.26,0.0217
0.264,0.01604
0.268,0.03964
0.272,0.0224
0.276,0.04318
0.28,0.01655
0.284,0.02619
0.288,0.03142
0.292,0.03063
0.296,0.01167
0.3,0.01882
0.304,0.02476
0.308,0.01718
0.312,0.03587
0.316,0.03511
0.32,0.00488
0.324,0.00701
0.328,0.0136
0.332,0.0307
0.336,0.05399
0.34,0.02531
0.344,0.03321
0.348,0.01775
0.352,0.01826
0.356,0.00766
0.36,0.03115
0.364,0.04325
0.368,0.02807
0.372,0.04969
0.376,0.03608
0.38,0.03433
0.384,0.04245
0.388,0.04414
0.392,0.05485
0.396,0.03515
0.4,0.02209
0.404,0.05685
0.408,0.05521
0.412,0.07031
0.416,0.09941
0.42,0.07526
0.424,0.10643
0.428,0.11639
0.432,0.11677
0.436,0.12873
0.44,0.11138
0.444,0.10764
0.448,0.12473
0.452,0.11522
0.456,0.11597
0.46,0.09359
0.464,0.10197
0.468,0.07081
0.472,0.0539
0.476,0.03561
0.48,0.04142
0.484,0.0602
0.488,0.0296
0.492,0.03947
0.496,0.06864
0.5,0.05255
0.504,0.06333
0.508,0.02966
0.512,0.01196
0.516,0.05972
0.52,0.02463
0.524,0.04288
0.528,0.04458
0.532,0.03077
0.536,0.06099
0.54,0.06114
0.544,0.04935
0.548,0.0425
0.552,0.04492
0.556,0.02789
0.56,0.03269
0.564,0.02086
0.568,-0.01173
0.572,-0.01861
0.576,-0.05648
0.58,-0.00527
0.584,0.10428
0.588,0.39374
0.592,0.75726
0.596,1.09506
0.6,1.25575
0.604,1.06569
0.608,0.66817
0.612,0.31561
0.616,-0.01159
0.62,-0.13684
0.624,-0.17663
0.628,-0.17043
0.632,-0.08802
0.636,-0.0429
0.64,0.00418
0.644,0.01664
0.648,0.05431
0.652,0.03433
0.656,0.02564
0.66,0.06509
0.664,0.04356
0.668,0.04997
0.672,0.07354
0.676,0.06547
0.68,0.06127
0.684,0.06898
0.688,0.05066
0.692,0.07265
0.696,0.08235
0.7,0.08491
0.704,0.08183
0.708,0.04956
0.712,0.11343
0.716,0.1224
0.72,0.13294
0.724,0.16504
0.728,0.17899
0.732,0.19976
0.736,0.20196
0.74,0.22503
0.744,0.2694
0.748,0.28712
0.752,0.30718
0.756,0.32409
0.76,0.34016
0.764,0.34478
0.768,0.35093
0.772,0.35215
0.776,0.35563
0.78,0.32927
0.784,0.33184
0.788,0.31356
0.792,0.28797
0.796,0.25984
0.8,0.24765
0.804,0.23089
0.808,0.18526
0.812,0.17749
0.816,0.15751
0.82,0.13056
0.824,0.1148
0.828,0.08943
0.832,0.08268
0.836,0.06731
0.84,0.07002
0.844,0.06397
0.848,0.05887
0.852,0.06568
0.856,0.05581
0.86,0.04694
0.864,0.04527
0.868,0.03907
0.872,0.04938
0.876,0.04851
0.88,0.0701
0.884,0.06871
0.888,0.0678
0.892,0.07485
0.896,0.03518
0.9,0.05776
0.904,0.05874
0.908,0.05525
0.912,0.07499
0.916,0.07986
0.92,0.06109
0.924,0.05711
0.928,0.03574
0.932,0.03569
0.936,0.05747
0.94,0.04809
0.944,0.03295
0.948,0.04735
0.952,0.05307
0.956,0.0599
0.96,0.04729
0.964,0.04526
0.968,0.04847
0.972,0.05038
0.976,0.03425
0.98,0.0581
0.984,0.07428
0.988,0.05766
0.992,0.0304
0.996,0.0488
1.0,0.02637
1.004,0.02548
1.008,0.05523
1.012,0.04812
1.016,0.03882
1.02,0.02189
1.024,0.03158
1.028,0.04862
1.032,0.04692
1.036,0.05467
1.04,0.06453
1.044,0.04204
1.048,0.05159
1.052,0.04416
1.056,0.0397
1.06,0.04257
1.064,0.05688
1.068,0.03285
1.072,0.05872
1.076,0.06259
1.08,0.04512
1.084,0.04758
1.088,0.02741
1.092,0.0725
1.096,0.05574
1.1,0.04588
1.104,0.04432
1.108,0.04886
1.112,0.03544
1.116,0.04647
1.12,0.03179
1.124,0.04865
1.128,0.03435
1.132,0.05303
1.136,0.04064
1.14,0.0451
