time_s,ecg_mv
0.0,-0.00161
0.004,-0.02258
0.008,-0.00614
0.012,0.00839
0.016,-0.00358
0.02,0.00992
0.024,-0.00826
0.028,0.00254
0.032,0.00339
0.036,0.00855
0.04,-0.00511
0.044,0.00286
0.048,0.01827
0.052,0.01225
0.056,0.00607
0.06,-0.00638
0.064,0.02027
0.068,0.02779
0.072,-0.00244
0.076,0.0189
0.08,0.01319
0.084,0.0061
0.088,0.01159
0.092,0.0186
0.096,-0.00747
0.1,0.01814
0.104,0.0296
0.108,-0.01017
0.112,0.00978
0.116,0.00098
0.12,0.02176
0.124,0.0167
0.128,0.0112
0.132,0.01809
0.136,0.02487
0.14,-0.0063
0.144,0.02012
0.148,0.02403
0.152,-0.00052
0.156,0.00669
0.16,0.01998
0.164,0.00721
0.168,0.04786
0.172,0.00628
0.176,0.00661
0.18,0.02501
0.184,0.01252
0.188,0.02556
0.192,0.00784
0.196,0.02842
0.2,0.01482
0.204,0.03209
0.208,0.02757
0.212,0.01139
0.216,0.00248
0.22,0.01774
0.224,0.02933
0.228,0.03882
0.232,0.03575
0.236,0.01168
0.24,0.01732
0.244,0.0134
0.248,0.03142
0.252,0.02687
0.256,0.00872
0.26,0.01797
0.264,0.01193
0.268,0.00994
0.272,0.01657
0.276,0.02402
0.28,0.03536
0.284,0.04833
0.288,0.01293
0.292,0.02091
0.296,0.03516
0.3,0.02447
0.304,0.02062
0.308,0.02588
0.312,0.02223
0.316,0.02513
0.32,0.03456
0.324,0.03434
0.328,0.02808
0.332,0.07064
0.336,0.02054
0.34,0.02611
0.344,0.0378
0.348,0.02393
0.352,0.03394
0.356,0.03527
0.36,0.04026
0.364,0.0401
0.368,0.02785
0.372,0.02801
0.376,0.0323
0.38,0.03329
0.384,0.02133
0.388,0.03708
0.392,0.03266
0.396,0.06085
0.4,0.04671
0.404,0.07376
0.408,0.04776
0.412,0.08061
0.416,0.07072
0.42,0.07493
0.424,0.09318
0.428,0.11201
0.432,0.10843
0.436,0.12323
0.44,0.11712
0.444,0.13349
0.448,0.10739
0.452,0.08021
0.456,0.10653
0.46,0.07439
0.464,0.08953
0.468,0.07538
0.472,0.06768
0.476,0.04711
0.48,0.0578
0.484,0.04795
0.488,0.06153
0.492,0.05162
0.496,0.05245
0.5,0.00931
0.504,0.01938
0.508,0.03353
0.512,0.04136
0.516,0.03389
0.52,0.05619
0.524,0.02761
0.528,0.05037
0.532,0.05886
0.536,0.03521
0.54,0.06956
0.544,0.03602
0.548,0.03938
0.552,0.02586
0.556,0.05221
0.56,0.04975
0.564,0.03056
0.568,-0.02345
0.572,-0.0166
0.576,-0.02934
0.58,-0.01878
0.584,0.15319
0.588,0.39536
0.592,0.74452
0.596,1.09876
0.6,1.21908
0.604,1.03699
0.608,0.68946
0.612,0.28516
0.616,0.02237
0.62,-0.14927
0.624,-0.17311
0.628,-0.16235
0.632,-0.11421
0.636,-0.05121
0.64,-0.024
0.644,0.01906
0.648,0.03051
0.652,0.06369
0.656,0.06317
0.66,0.07729
0.664,0.05176
0.668,0.05317
0.672,0.045
0.676,0.05909
0.68,0.04793
0.684,0.06287
0.688,0.04473
0.692,0.08324
0.696,0.07324
0.7,0.06947
0.704,0.0686
0.708,0.09793
0.712,0.10853
0.716,0.13207
0.72,0.13459
0.724,0.18739
