time_s,ppg_au
0.0,-0.00927
0.004,-0.00092
0.008,-0.01375
0.012,0.00795
0.016,-0.01725
0.02,0.00179
0.024,0.0088
0.028,0.00641
0.032,0.01982
0.036,0.00408
0.04,0.01246
0.044,-0.00355
0.048,0.02105
0.052,-0.02193
0.056,0.00563
0.06,-0.00525
0.064,0.01194
0.068,-0.00648
0.072,0.00276
0.076,0.00825
0.08,-0.00508
0.084,0.00482
0.088,0.0104
0.092,0.0011
0.096,-0.00119
0.1,0.00473
0.104,0.02392
0.108,-0.00261
0.112,0.01487
0.116,-0.01499
0.12,-0.00402
0.124,0.00694
0.128,0.01455
0.132,0.0039
0.136,0.00927
0.14,-0.00765
0.144,-0.00245
0.148,0.01477
0.152,0.00879
0.156,0.0065
0.16,-0.00726
0.164,0.02482
0.168,0.02253
0.172,0.00638
0.176,0.01359
0.18,-0.00312
0.184,0.01648
0.188,0.01035
0.192,0.00587
0.196,-0.01096
0.2,0.00102
0.204,-0.00577
0.208,0.01929
0.212,0.00361
0.216,0.02656
0.22,0.01508
0.224,0.00314
0.228,0.02414
0.232,0.02344
0.236,0.0136
0.24,-0.00777
0.244,0.01845
0.248,0.01997
0.252,0.01749
0.256,0.00359
0.26,-0.00101
0.264,-0.00336
0.268,-0.00541
0.272,0.00407
0.276,0.02348
0.28,0.02672
0.284,0.01022
0.288,0.00751
0.292,0.02222
0.296,0.01744
0.3,0.02282
0.304,0.01295
0.308,0.0094
0.312,0.02739
0.316,0.00554
0.32,0.02226
0.324,0.00648
0.328,0.01688
0.332,0.01186
0.336,0.01474
0.34,0.0099
0.344,0.03042
0.348,0.01514
0.352,0.0122
0.356,0.0131
0.36,0.03271
0.364,0.01207
0.368,0.00729
0.372,0.00392
0.376,0.01871
0.38,0.01201
0.384,0.01316
0.388,0.02054
0.392,0.03667
0.396,0.02249
0.4,0.02778
0.404,0.01161
0.408,0.0261
0.412,0.02631
0.416,0.02291
0.42,0.02494
0.424,0.00719
0.428,0.03143
0.432,0.01659
0.436,0.01023
0.44,0.02005
0.444,0.02237
0.448,0.01733
0.452,0.02433
0.456,0.02566
0.46,0.01589
0.464,0.0134
0.468,0.01704
0.472,0.01689
0.476,0.01597
0.48,0.03339
0.484,0.04257
0.488,0.00585
0.492,0.02445
0.496,0.01297
0.5,0.01151
0.504,0.02268
0.508,0.02469
0.512,0.00911
0.516,0.02483
0.52,0.02385
0.524,0.0106
0.528,0.02772
0.532,0.02189
0.536,0.01458
